marea_id,number_of_calas,total_catch
147146,1,50
148228,2,50
144790,5,200
144547,1,30
145088,5,230
145331,2,80
147252,1,10
146170,2,30
144398,2,100
144939,4,160
146562,1,20
145480,1,100
146021,2,120
147644,2,70
144378,2,180
145042,1,50
145706,3,85
148623,2,20
147959,2,400
144401,1,70
145065,2,110
147272,2,90
146393,3,90
146608,1,25
147936,2,55
144332,1,40
144355,1,75
144209,7,340
146044,2,100
147372,1,100
146293,3,400
147621,1,70
145606,2,110
146731,3,210
148059,6,300
148746,1,40
147418,3,80
145165,1,350
148500,2,45
146247,1,30
144478,2,290
144232,1,35
145560,3,330
146101,1,130
144773,3,290
147564,2,70
148105,3,230
144624,3,380
145460,3,150
146877,3,160
146539,1,15
145852,3,510
144524,1,20
145311,1,45
